episode,win,reward,length,opponent
301,1,(1289.12777968831+0j),552,random
302,1,(1738.1053530397883+0j),942,random
303,1,(992.2943981644636+0j),385,random
304,1,(1449.1643094106496+0j),751,random
305,1,(2113.8450531000585+0j),1298,random
306,0,(1797.426828021428+0j),1549,random
307,0,(1724.1488933440935+0j),1559,random
308,1,(2192.7489611310853+0j),1159,random
309,0,(1714.4591383498744+0j),1498,random
310,0,(1587.4862503596373+0j),1533,random
311,0,(2485.6742613842525+0j),1602,random
312,0,(1561.8697384594027+0j),1467,random
313,1,(955.603796429606+0j),371,random
314,1,(1230.4034463316664+0j),685,random
315,1,(1243.5350937070666+0j),594,random
316,1,(1556.4500188683166+0j),655,random
317,1,(1135.6596201562697+0j),486,random
318,1,(911.3261316253418+0j),326,random
319,1,(841.2427886156296+0j),302,random
320,1,(1227.5974831895799+0j),746,random
321,1,(910.840914233005+0j),373,random
322,1,(814.422782271749+0j),307,random
323,0,(2081.385925322688+0j),1491,random
324,0,(1903.5523955492956+0j),1541,random
325,1,(2238.31462045549+0j),1114,random
326,1,(1548.0223389117737+0j),804,random
327,1,(655.8733389789134+0j),148,random
328,0,(2423.7384686683+0j),1549,random
329,1,(1004.5399133952151+0j),388,random
330,1,(827.4370375502531+0j),367,random
331,1,(1064.596169475808+0j),496,random
332,1,(854.7080864000908+0j),296,random
333,1,(2420.309281380019+0j),1360,random
334,1,(1036.5721105844514+0j),492,random
335,0,(2128.1445990438065+0j),1938,random
336,0,(2498.36392787091+0j),1929,random
337,1,(833.1596491557842+0j),272,random
338,1,(1927.3762162823602+0j),1067,random
339,1,(1766.7158529687617+0j),816,random
340,1,(2035.7200559127632+0j),1086,random
341,1,(1408.1691910427892+0j),639,random
342,1,(1052.2634047334698+0j),438,random
343,1,(1956.5226040503799+0j),1120,random
344,1,(1004.7728676114953+0j),446,random
345,0,(1927.9102544408795+0j),1509,random
346,1,(665.4086941619225+0j),210,random
347,1,(1676.349129503458+0j),835,random
348,1,(1445.989115678481+0j),603,random
349,1,(1502.881817058842+0j),712,random
350,1,(1041.7084838025744+0j),434,random
351,1,(2144.2210250631165+0j),1371,random
352,1,(2372.2834279229887+0j),1479,random
353,1,(805.7186171547243+0j),331,random
354,1,(2026.9012560728745+0j),1087,random
355,1,(2318.549356630253+0j),1214,random
356,0,(1557.1456041952165+0j),1398,random
357,1,(1687.6866889944645+0j),1071,random
358,1,(2369.327824462095+0j),1247,random
359,1,(1371.2060666270263+0j),631,random
360,0,(1689.0870918375492+0j),1353,random
361,0,(1747.2320736934707+0j),1664,random
362,1,(702.4168381847644+0j),180,random
363,1,(1795.4100398198827+0j),901,random
364,1,(2423.6811917476716+0j),1423,random
365,0,(1649.1546383791333+0j),1284,random
366,1,(862.3310009550436+0j),334,random
367,1,(2249.088637241672+0j),1203,random
368,1,(988.9208145792586+0j),464,random
369,0,(1809.1242870628232+0j),1432,random
370,1,(1295.5130577087602+0j),590,random
371,1,(837.4296726613389+0j),335,random
372,1,(959.032005738927+0j),390,random
373,0,(1980.1209149994552+0j),1546,random
374,1,(2387.5467845558233+0j),1160,random
375,1,(1735.8797909420377+0j),801,random
376,1,(2195.637242413947+0j),1416,random
377,1,(868.5737916167611+0j),311,random
378,1,(1809.8916641326432+0j),1027,random
379,0,(2002.2213781539265+0j),1499,random
380,1,(1345.3906826632442+0j),604,random
381,1,(1791.6051216862977+0j),932,random
382,0,(2865.687279271468+0j),1803,random
383,1,(1367.2516693414009+0j),754,random
384,0,(1532.4216828981826+0j),1258,random
385,0,(1790.5517246191625+0j),1482,random
386,1,(2185.021309316692+0j),1206,random
387,1,(1050.2107160428254+0j),516,random
388,0,(1917.0742864355984+0j),1551,random
389,0,(1938.8425860097698+0j),1405,random
390,1,(1303.7186044397472+0j),602,random
391,1,(1422.925164862764+0j),632,random
392,1,(740.7916944417768+0j),198,random
393,0,(1730.7604964741738+0j),1526,random
394,0,(1925.9437977673474+0j),1586,random
395,0,(2269.4049099799954+0j),1919,random
396,1,(2690.935377247855+0j),1528,random
397,1,(1816.3415588118548+0j),952,random
398,1,(910.575456232398+0j),403,random
399,1,(1492.6706526328323+0j),660,random
400,1,(1769.915561653861+0j),1047,random
401,0,(2962.2904519848503+0j),2178,random
402,0,(1552.5606490005166+0j),1369,random
403,0,(1799.1382103071455+0j),1635,random
404,1,(1583.5892527199608+0j),672,random
405,1,(1578.722360385199+0j),781,random
406,1,(1581.8695449151646+0j),836,random
407,1,(933.1770833245336+0j),375,random
408,1,(1794.5125117547404+0j),1052,random
409,1,(1447.6389559562847+0j),637,random
410,0,(1944.0559180004964+0j),1454,random
411,0,(1584.3905821312699+0j),1461,random
412,1,(1022.9308929561348+0j),536,random
413,0,(1890.5783830828345+0j),1474,random
414,1,(2345.5030117634587+0j),1192,random
415,0,(2204.103121107499+0j),1669,random
416,1,(1094.2882806681346+0j),473,random
417,1,(963.0888092365171+0j),388,random
418,1,(1959.3136734841055+0j),1108,random
419,1,(1119.9310665218622+0j),475,random
420,1,(2151.09119689642+0j),1016,random
421,1,(1547.059310378182+0j),688,random
422,0,(1805.6255084353063+0j),1245,random
423,0,(1840.2008506602347+0j),1530,random
424,1,(1672.50735188611+0j),852,random
425,1,(1381.5532075349581+0j),773,random
426,0,(1538.0116678168113+0j),1432,random
427,0,(1737.2435739663301+0j),1496,random
428,0,(1625.5348711724293+0j),1496,random
429,1,(1298.0148860948202+0j),659,random
430,1,(939.56771697175+0j),361,random
431,1,(1116.0403824442064+0j),428,random
432,1,(979.4489934300572+0j),352,random
433,0,(1716.8459160318369+0j),1444,random
434,1,(1681.4140533304976+0j),907,random
435,0,(1864.4505747088497+0j),1356,random
436,1,(2072.5344415315353+0j),1141,random
437,1,(2249.3459330194564+0j),1301,random
438,1,(2868.130062749467+0j),1629,random
439,1,(2336.7949306041123+0j),1444,random
440,1,(733.7895101569784+0j),231,random
441,1,(1113.5419398947056+0j),484,random
442,1,(2477.2839972550496+0j),1410,random
443,1,(1646.0767693402502+0j),929,random
444,0,(2009.791454398482+0j),1555,random
445,1,(1493.605504908732+0j),803,random
446,0,(1599.5666792755378+0j),1316,random
447,1,(1599.19178579267+0j),814,random
448,1,(1983.4314421914135+0j),1079,random
449,0,(2248.4728730277966+0j),1707,random
450,1,(2649.822089185819+0j),1870,random
451,1,(1886.2441293972636+0j),1076,random
452,1,(973.0801522653784+0j),476,random
453,1,(955.9958891353905+0j),403,random
454,1,(1161.4758309390159+0j),502,random
455,1,(1379.9926002615152+0j),569,random
456,0,(1802.5121285155644+0j),1427,random
457,0,(1844.2475591635764+0j),1294,random
458,0,(1870.5044861288786+0j),1417,random
459,0,(1791.485075027035+0j),1379,random
460,1,(1525.496673035024+0j),873,random
461,1,(944.5210139149402+0j),330,random
462,1,(1675.4666592980443+0j),962,random
463,0,(1790.0929090090985+0j),1404,random
464,1,(2276.132606007393+0j),1178,random
465,1,(1034.9146450562098+0j),517,random
466,1,(1904.9143090240334+0j),1117,random
467,1,(1871.56953313472+0j),1120,random
468,0,(2174.1428535862683+0j),1745,random
469,1,(1753.1330348470185+0j),1033,random
470,1,(1332.9469849849481+0j),690,random
471,1,(1071.1071452715532+0j),432,random
472,0,(1624.2035038661793+0j),1502,random
473,0,(1982.8824169635666+0j),1527,random
474,1,(1341.4576348643172+0j),767,random
475,0,(2271.388156837773+0j),1906,random
476,1,(1101.276936593988+0j),435,random
477,0,(1680.0550234465145+0j),1472,random
478,1,(1564.9364427908383+0j),875,random
479,1,(1841.4796602807814+0j),1210,random
480,1,(1255.1163285555767+0j),594,random
481,0,(1872.5574655659339+0j),1409,random
482,0,(2539.386576291198+0j),1847,random
483,0,(1792.4171996993412+0j),1419,random
484,0,(1813.9693296904509+0j),1438,random
485,1,(1822.1823365784333+0j),970,random
486,1,(2090.380074796664+0j),913,random
487,0,(1675.4817018426243+0j),1681,random
488,1,(1596.9203360872812+0j),832,random
489,1,(1123.6848552401134+0j),439,random
490,1,(2654.7370244242643+0j),1336,random
491,0,(1683.3848574485125+0j),1414,random
492,0,(2768.790941266059+0j),1865,random
493,1,(1966.7155832544074+0j),1120,random
494,1,(1968.4050235355528+0j),969,random
495,1,(1458.3510994765861+0j),666,random
496,1,(2003.2205465619732+0j),1005,random
497,1,(1125.4372137657542+0j),483,random
498,1,(1873.8838632078364+0j),991,random
499,0,(1744.041216578372+0j),1465,random
500,1,(1523.0060808791125+0j),758,random
501,1,(1290.3038283890362+0j),745,random
502,0,(2318.989483948244+0j),1561,random
503,1,(1916.2059417820592+0j),955,random
504,1,(2063.662605972646+0j),1149,random
505,0,(292.14956069425585+0j),315,random
506,0,(1620.4421757355105+0j),1509,random
507,0,(1945.2421936918818+0j),1420,random
508,1,(1403.700047411204+0j),702,random
509,0,(1917.1884814445943+0j),1532,random
510,0,(1575.4528135294713+0j),1516,random
511,1,(1764.8126929787434+0j),882,random
512,0,(1664.500719652604+0j),1469,random
513,1,(2318.737304289195+0j),1258,random
514,0,(2253.852180272605+0j),1739,random
515,0,(2151.2015647794974+0j),1450,random
516,0,(1842.4758066221345+0j),1538,random
517,0,(1857.3924054476513+0j),1494,random
518,1,(1060.3015151323089+0j),554,random
519,1,(1324.8203522001124+0j),662,random
520,1,(769.2304349359745+0j),274,random
521,1,(1092.1237317215164+0j),546,random
522,1,(1981.6367614699889+0j),1136,random
523,0,(1952.4983842312988+0j),1773,random
524,0,(1791.007569164513+0j),1476,random
525,0,(1464.5788104908688+0j),1371,random
526,1,(1558.7553182029417+0j),712,random
527,0,(1791.8921535979064+0j),1349,random
528,1,(2323.6989392341075+0j),1495,random
529,1,(1471.9476314547858+0j),663,random
530,1,(1316.5614345045467+0j),597,random
531,0,(3078.671592786955+0j),2412,random
532,0,(2129.4018126197943+0j),1353,random
533,0,(2633.3976212234898+0j),2055,random
534,1,(2590.740187073577+0j),1750,random
535,0,(1604.5624766193655+0j),1458,random
536,1,(1589.6983014662699+0j),980,random
537,1,(846.972725461778+0j),381,random
538,0,(1441.6800912168883+0j),1316,random
539,0,(2456.467121832232+0j),2056,random
540,0,(1909.526917902056+0j),1435,random
541,1,(1067.0747707476335+0j),454,random
542,1,(1385.034255587569+0j),646,random
543,1,(605.6973916183667+0j),157,random
544,1,(2125.8030783852137+0j),1341,random
545,1,(901.0305516037835+0j),371,random
546,1,(1113.2581811764876+0j),528,random
547,1,(1744.2957535902476+0j),945,random
548,1,(1163.9426750441735+0j),588,random
549,1,(1155.7853659875636+0j),486,random
550,1,(2269.913790034472+0j),1229,random
551,0,(1984.013819368625+0j),1520,random
552,1,(980.3469021840732+0j),413,random
553,0,(1960.3424378055468+0j),1537,random
554,0,(1881.4934545530712+0j),1563,random
555,1,(1684.1255448138027+0j),848,random
556,1,(1479.003535483713+0j),830,random
557,1,(1208.1512743048618+0j),527,random
558,1,(1042.8806195201735+0j),365,random
559,0,(1832.8902876652344+0j),1474,random
560,1,(1288.5144019478087+0j),723,random
561,1,(1063.0180312692873+0j),522,random
562,1,(1046.0303551072213+0j),484,random
563,0,(1843.4667525087148+0j),1561,random
564,1,(2273.2334717303424+0j),1464,random
565,0,(2013.9108387772644+0j),1387,random
566,1,(2098.3916527071638+0j),1124,random
567,0,(1986.3515779446511+0j),1554,random
568,0,(2295.4575099782696+0j),1846,random
569,1,(1371.1115942475994+0j),651,random
570,0,(1933.844292658661+0j),1603,random
571,0,(1679.3109865337701+0j),1430,random
572,1,(1709.715749822738+0j),910,random
573,1,(1139.6901999367726+0j),630,random
574,1,(2019.5253374986476+0j),1125,random
575,0,(1826.0784668323472+0j),1626,random
576,1,(2042.1552486344087+0j),1194,random
577,1,(1313.6338658090951+0j),551,random
578,1,(1521.4200665470796+0j),751,random
579,1,(1835.5404757211431+0j),928,random
580,1,(1345.7963672736016+0j),682,random
581,0,(2746.8202808054193+0j),1721,random
582,1,(1155.030057423788+0j),601,random
583,1,(1184.269470704111+0j),624,random
584,1,(777.9533442617418+0j),254,random
585,1,(1332.8213185348395+0j),736,random
586,0,(2486.758431426576+0j),1764,random
587,1,(1455.7668600982943+0j),692,random
588,1,(2016.3865048094938+0j),1185,random
589,1,(1016.4779024552084+0j),487,random
590,0,(2191.3828074768367+0j),1808,random
591,0,(1601.5489435470247+0j),1441,random
592,1,(2518.6611534125286+0j),1513,random
593,1,(916.313352456443+0j),399,random
594,1,(2001.771234361464+0j),1042,random
595,0,(2065.649865150194+0j),1536,random
596,1,(1920.5502064712978+0j),967,random
597,0,(2895.4221160245265+0j),2109,random
598,0,(1505.5059848328713+0j),1477,random
599,1,(1419.7144730395935+0j),755,random
600,1,(2017.4809228952292+0j),1137,random
601,1,(1024.6515613348683+0j),418,random
602,0,(1701.7501205848464+0j),1371,random
603,1,(1035.6019947043442+0j),418,random
604,1,(964.7009150649285+0j),377,random
605,1,(1667.3278826421383+0j),937,random
606,1,(1274.6641207507803+0j),626,random
607,1,(969.8185627326868+0j),348,random
608,1,(940.7699261587421+0j),360,random
609,0,(2012.8283036056841+0j),1394,random
610,1,(842.2957803688134+0j),332,random
611,1,(968.266704027768+0j),348,random
612,0,(1660.0869541467584+0j),1318,random
613,1,(1268.412262801433+0j),560,random
614,1,(1367.5042103418104+0j),662,random
615,1,(1092.9042943060294+0j),446,random
616,1,(1320.5582672984767+0j),705,random
617,1,(1873.67463947269+0j),983,random
618,1,(1778.9852030486454+0j),918,random
619,1,(2490.938072842865+0j),1644,random
620,1,(2624.0319548658867+0j),1624,random
621,0,(2123.7638586266694+0j),1539,random
622,0,(2245.586454264218+0j),1581,random
623,0,(2922.989733090067+0j),1788,random
624,0,(840.6100750980879+0j),759,random
625,0,(1932.228186932199+0j),1373,random
626,1,(1043.7860003105848+0j),423,random
627,1,(1583.006324305012+0j),679,random
628,1,(2423.2169387143117+0j),1538,random
629,1,(1287.1174273480697+0j),515,random
630,1,(1039.181177550207+0j),467,random
631,0,(584.3694607324804+0j),496,random
632,1,(1536.7887620231004+0j),758,random
633,1,(1607.2448693831923+0j),901,random
634,1,(2031.4703525780928+0j),1240,random
635,0,(2341.8734885382164+0j),2013,random
636,0,(2249.4640430379422+0j),1728,random
637,1,(1352.0615590373889+0j),690,random
638,0,(1737.152124733688+0j),1444,random
639,0,(1537.1010701400155+0j),1332,random
640,0,(2656.5947890281464+0j),1947,random
641,1,(1967.993493311219+0j),1219,random
642,0,(1791.6406676814847+0j),1448,random
643,1,(1330.3940707216284+0j),665,random
644,0,(2823.9798278154235+0j),1765,random
645,0,(2421.5366701472353+0j),1670,random
646,1,(2339.689761406509+0j),1429,random
647,1,(1564.2306901310335+0j),704,random
648,1,(1072.6423127033677+0j),534,random
649,1,(1146.5544742000118+0j),500,random
650,0,(1958.868492291382+0j),1518,random
651,1,(721.6257573176953+0j),294,random
652,1,(1963.9614610503597+0j),1333,random
653,1,(1183.2753088500735+0j),497,random
654,1,(1225.1872095003262+0j),634,random
655,0,(1904.223494100185+0j),1493,random
656,1,(1840.7751296504282+0j),835,random
657,1,(1465.0535617010946+0j),660,random
658,1,(1557.1231559341763+0j),866,random
659,0,(1719.4378620533316+0j),1486,random
660,0,(1606.4713194524688+0j),1436,random
661,0,(1756.1279854555157+0j),1343,random
